x	y	showSelected1
16	15	1
15	14	2
16	15	2
16	13	3
17	14	3
16	15	3
15	12	4
18	13	4
15	14	4
16	15	4
14	11	5
17	12	5
16	13	5
17	14	5
16	15	5
15	10	6
16	11	6
15	12	6
18	13	6
17	14	6
16	15	6
14	9	7
15	10	7
14	11	7
19	12	7
18	13	7
15	14	7
16	15	7
13	8	8
16	9	8
15	10	8
20	11	8
17	12	8
14	13	8
17	14	8
16	15	8
14	7	9
17	8	9
14	9	9
21	10	9
16	11	9
15	12	9
16	13	9
17	14	9
16	15	9
15	6	10
18	7	10
13	8	10
22	9	10
17	10	10
14	11	10
17	12	10
18	13	10
17	14	10
16	15	10
16	5	11
17	6	11
14	7	11
21	8	11
18	9	11
15	10	11
16	11	11
19	12	11
16	13	11
15	14	11
16	15	11
15	4	12
16	5	12
13	6	12
22	7	12
17	8	12
16	9	12
15	10	12
20	11	12
15	12	12
14	13	12
15	14	12
16	15	12
16	3	13
15	4	13
12	5	13
23	6	13
16	7	13
17	8	13
16	9	13
21	10	13
14	11	13
15	12	13
16	13	13
15	14	13
16	15	13
15	2	14
16	3	14
13	4	14
24	5	14
15	6	14
18	7	14
15	8	14
22	9	14
13	10	14
14	11	14
17	12	14
16	13	14
15	14	14
16	15	14
16	1	15
17	2	15
12	3	15
23	4	15
16	5	15
19	6	15
14	7	15
23	8	15
14	9	15
13	10	15
18	11	15
15	12	15
14	13	15
17	14	15
16	15	15
15	0	16
16	1	16
13	2	16
24	3	16
15	4	16
18	5	16
13	6	16
24	7	16
13	8	16
14	9	16
17	10	16
14	11	16
15	12	16
18	13	16
17	14	16
16	15	16
15	0	17
14	1	17
23	2	17
16	3	17
17	4	17
12	5	17
23	6	17
14	7	17
15	8	17
18	9	17
13	10	17
14	11	17
19	12	17
18	13	17
15	14	17
16	15	17
13	0	18
22	1	18
17	2	18
16	3	18
13	4	18
24	5	18
13	6	18
14	7	18
17	8	18
14	9	18
15	10	18
18	11	18
19	12	18
14	13	18
17	14	18
16	15	18
21	0	19
16	1	19
17	2	19
12	3	19
23	4	19
14	5	19
13	6	19
16	7	19
15	8	19
16	9	19
17	10	19
20	11	19
13	12	19
18	13	19
15	14	19
16	15	19
15	0	20
18	1	20
11	2	20
22	3	20
15	4	20
12	5	20
17	6	20
14	7	20
17	8	20
18	9	20
19	10	20
12	11	20
17	12	20
14	13	20
17	14	20
16	15	20
19	0	21
12	1	21
21	2	21
16	3	21
11	4	21
18	5	21
13	6	21
16	7	21
19	8	21
20	9	21
13	10	21
18	11	21
15	12	21
16	13	21
17	14	21
16	15	21
11	0	22
20	1	22
17	2	22
12	3	22
19	4	22
12	5	22
17	6	22
20	7	22
21	8	22
12	9	22
17	10	22
16	11	22
17	12	22
18	13	22
17	14	22
16	15	22
19	0	23
18	1	23
11	2	23
18	3	23
11	4	23
16	5	23
19	6	23
22	7	23
11	8	23
16	9	23
17	10	23
18	11	23
19	12	23
18	13	23
15	14	23
16	15	23
17	0	24
10	1	24
17	2	24
10	3	24
17	4	24
18	5	24
23	6	24
10	7	24
17	8	24
16	9	24
19	10	24
20	11	24
19	12	24
14	13	24
17	14	24
16	15	24
